FACILITY_TYPE,EXTERNAL_FACILITY_ID,FACILITY_NAME,SHORT_NAME,DESCRIPTION,LAT_MIN,LAT_MAX,LON_MIN,LON_MAX,METRIC:MMI:GREEN,METRIC:MMI:YELLOW,METRIC:MMI:RED,ATTR:CD,ATTR:Main,ATTR:TBMPage
"STRUCTURE","100001","LESSOR: DEPT OF AIRPORTS/VAN NUYS","","---VAN NUYS---90074",34.18416,34.18416,-118.446517,-118.446517,1,5,7,ND,
"STRUCTURE","100002","ROOM 200 TERMINAL BLDG, AIRPORT MANAGER","","---ONTARIO---91761",34.033892,34.033892,-117.604269,-117.604269,1,5,7,SD,
"STRUCTURE","100003","ONTARIO AIRPORT","","---ONTARIO---91761",34.033892,34.033892,-117.604269,-117.604269,1,5,7
"STRUCTURE","100004","BERTH 256","","BERTH 256 ---TERMINAL ISLAND---90731",33.733082,33.733082,-118.277302,-118.277302,1,5,7,15,SD,824D5
"STRUCTURE","100005","CENTRAL VALLEY SERVICE YARD","","0---LOS ANGELES---90000",34.053509,34.053509,-118.245308,-118.245308,1,5,7,0,,
"STRUCTURE","100006","AMOROSO TRIANGLE","","0  AMOROSO PL---VENICE---90291",33.997115,33.997115,-118.454994,-118.454994,1,5,7,6,ND,671H6
"STRUCTURE","100007","ARGO TRIANGLE","","0  ARGO ST---PLAYA DEL REY---90293",33.9593,33.9593,-118.449139,-118.449139,1,5,7,6,SD,591C5
"STRUCTURE","100008","BELL CANYON PARK","","0  BELL CANYON BL---CANOGA PARK---91307",34.197362,34.197362,-118.64066,-118.64066,1,5,7,12,ND,529D4
"STRUCTURE","100009","FIRE STATION #49 / FIRE BOAT #4","","0  BERTH 194---WILMINGTON---90744",33.785019,33.785019,-118.260488,-118.260488,1,5,7,15,SD,824E2
"STRUCTURE","100010","PUMPING PLANT #79","","0  BERTH 200 A---WILMINGTON---90744",33.785019,33.785019,-118.260488,-118.260488,1,5,7,15,SD,794E7
"STRUCTURE","100011","SANITATION FACILITY","","0  BERTH 234---TERM ISLAND---90731",33.733082,33.733082,-118.277302,-118.277302,1,5,7,0,SD,824D5
"STRUCTURE","100012","CABRILLO BEACH REC COMPLEX","","0  BERTH 25---SAN PEDRO---90731",33.733082,33.733082,-118.277302,-118.277302,1,5,7,15,SD,854C2
"STRUCTURE","100013","PUMPING PLANT #81","","0  BERTH 77---SAN PEDRO---90731",33.733082,33.733082,-118.277302,-118.277302,1,5,7,15,SD,824D6
"STRUCTURE","100014","SANITATION FACILITY","","0  BERTH 77A---SAN PEDRO---90732",33.733082,33.733082,-118.277302,-118.277302,1,5,7,15,SD,
"STRUCTURE","100015","FERRY BUILDING","","0  BERTH 84---SAN PEDRO---90731",33.733082,33.733082,-118.277302,-118.277302,1,5,7,15,SD,824D5
"STRUCTURE","100016","LESSOR: BOARD OF HARBOR COMMISSIONERS","","0  BERTH 86---SAN PEDRO---90731",33.733082,33.733082,-118.277302,-118.277302,1,5,7,15,SD,824D5
"STRUCTURE","100017","LESSOR: REAL PROPERTY MANAGEMENT, INC.","","0  BERTH H-280---MARINA DEL REY---90292",33.98592,33.98592,-118.452219,-118.452219,1,5,7,0,SD,824C4
"STRUCTURE","100018","PORTIONS OF LOTS 8,16,17,18,19 TRACT 13945","","0  BEVERWIL DR---RANCHO PARK---90064",34.036187,34.036187,-118.428318,-118.428318,1,5,7,5,ND,632G6
"STRUCTURE","100019","LOTS 59,60,61 TRACT 13-382","","0  BEVERWIL DR---RANCHO PARK---90064",34.036187,34.036187,-118.428318,-118.428318,1,5,7,5,ND,632G4
"STRUCTURE","100020","FORT MACARTHUR","","0  BUNKER 5-A/B---FT MACARTHUR---90731",33.73471,33.73471,-118.290054,-118.290054,1,5,7,15,SD,824C7
"STRUCTURE","100021","STATE OF CALIFORNIA","","0  COTNER AV---LOS ANGELES---90025",34.04778,34.04778,-118.446664,-118.446664,1,5,7,0,ND,632B4
"STRUCTURE","100022","LAKE CROWLEY","","0  HIGHWAY #395---BISHOP---91325",34.23778,34.23778,-118.517377,-118.517377,1,5,7,0,,
"STRUCTURE","100023","FD AND PD COMMUNICATION SITE","","0  J. L. VIGNES RANCH---PASADENA---",34.147235,34.147235,-118.144264,-118.144264,1,5,7,0,ND,420B6
"STRUCTURE","100024","VENTILATOR STATION #3","","0  KEYSTONE ST---BURBANK---91506",34.18722,34.18722,-118.333559,-118.333559,1,5,7,4,ND,563F4
"STRUCTURE","100025","VENTILATOR STATION #3","","0  KEYSTONE ST---BURBANK---91506",34.18722,34.18722,-118.333559,-118.333559,1,5,7,4,ND,563F4
"STRUCTURE","100026","VENTILATOR STATION #3","","0  KEYSTONE ST---BURBANK---91506",34.18722,34.18722,-118.333559,-118.333559,1,5,7,4,ND,563F4
"STRUCTURE","100027","LANARK/SHELBY MINI PARK","","0  LANARK ST---EAGLE ROCK---90041",34.136005,34.136005,-118.187139,-118.187139,1,5,7,14,ND,565C6
"STRUCTURE","100028","BROWNS CREEK RECREATION TRAILS","","0  LASSEN ST---CHATSWORTH---91311",34.24997,34.24997,-118.609344,-118.609344,1,5,7,12,ND,500A4
"STRUCTURE","100029","LOPEZ CANYON RD STATION","","0  LOPEZ CANYON---KAGEL CANYON---91342",34.290551,34.290551,-118.400592,-118.400592,1,5,7,7,ND,501C5
"STRUCTURE","100030","1 DOUBLE-FACED SIGNBOARD","","0  MAIN ST---LOS ANGELES---90012",34.056005,34.056005,-118.239874,-118.239874,1,5,7,0,ND,634G4
"STRUCTURE","100031","TRASNMITTER STATION, OAT MOUNTAIN","","0  OAT MOUNTAIN WY------91326",34.277138,34.277138,-118.552227,-118.552227,1,5,7,0,ND,480D2
"STRUCTURE","100032","TRANSMITTER STATION, OAT MOUNTAIN","","0  OAT MOUNTAIN WY------91326",34.277138,34.277138,-118.552227,-118.552227,1,5,7,0,ND,480D2
"STRUCTURE","100033","COMMUNICATION SHELTER","","0  OAT MOUNTAIN WY------91326",34.277138,34.277138,-118.552227,-118.552227,1,5,7,0,ND,480B6
"STRUCTURE","100034","CAMP HIGH SIERRA","","0  P.O. BOX 711---MAMMOTH LAKE---91316",34.167208,34.167208,-118.516541,-118.516541,1,5,7,0,NA,
"STRUCTURE","100035","CAMP SEELEY","","0  P.O. BOX AE---CRESTLINE---91316",34.167208,34.167208,-118.516541,-118.516541,1,5,7,0,NA,
"STRUCTURE","100036","CAMP SEELEY","","0  P.O. BOX AE---CRESTLINE---91316",34.167208,34.167208,-118.516541,-118.516541,1,5,7,0,NA,
"STRUCTURE","100037","PANORAMA MALL","","0  PANORAMA MALL---VAN NUYS---91402",34.22166,34.22166,-118.450945,-118.450945,1,5,7,7,ND,532A1
"STRUCTURE","100038","PORTS O' CALL STATION","","0  PORTS O' CALL---SAN PEDRO---90731",33.73471,33.73471,-118.290054,-118.290054,1,5,7,15,SD,824D6
"STRUCTURE","100039","METERED PARKING LOT   DEPT OF TRANSPORTATION","","0  ROSE AV---LOS ANGELES---90012",34.048015,34.048015,-118.237099,-118.237099,1,5,7,0,ND,
"STRUCTURE","100040","WHITMORE HOT SPRINGS","","0  ROUTE 3---BISHOP---91325",34.23778,34.23778,-118.517377,-118.517377,1,5,7,0,,91325
"STRUCTURE","100041","RUSTIC CANYON PARK","","0  RUSTIC CANYON RD---PACIFIC PALISADES---90272",34.052074,34.052074,-118.537111,-118.537111,1,5,7,11,ND,631B1
"STRUCTURE","100042","SANTA FE FLOOD CONTROL BASIN","","0  SANTA FE DAM---IRWINDALE---91706",34.087808,34.087808,-117.967127,-117.967127,1,5,7,0,ND,598C1
"STRUCTURE","100043","PUMPING PLANT #82","","0  SIGSBEE AV---WILMINGTON---90744",33.783535,33.783535,-118.234614,-118.234614,1,5,7,15,SD,794H6
"STRUCTURE","100044","VAL CREST CAMP","","0  STAR ROUTE---LA CANADA---91304",34.219519,34.219519,-118.623921,-118.623921,1,5,7,0,NA,
"STRUCTURE","100045","RADFORD CAMP","","0  STAR ROUTE---ANGELES OAKS---91304",34.219519,34.219519,-118.623921,-118.623921,1,5,7,0,NA,
"STRUCTURE","100046","SULLIVAN CANYON PARK","","0  SULLIVAN CANYON RD---BRENTWOOD---91790",34.066958,34.066958,-117.937963,-117.937963,1,5,7,11,ND,631C1
"STRUCTURE","100047","VERDUGO PARK MICROWAVE STATION","","0  VERDUGO PEAK WY---GLENDALE---91552",34.14632,34.14632,-118.248024,-118.248024,1,5,7,0,ND,534A1
"STRUCTURE","100048","LESSOR: MOTOROLA INCORPORATED","","0  VERDUGO PEAK WY---GLENDALE---91352",34.223452,34.223452,-118.306742,-118.306742,1,5,7,2,ND,534A1
"STRUCTURE","100049","WOODSIDE TRIANGLE","","0  WOODSIDE DR---MT WASHNGTON---90031",34.077887,34.077887,-118.214641,-118.214641,1,5,7,14,ND,595B4
"STRUCTURE","100050","REC & PARKS SERVICE","","1  17TH AV---VENICE---90291",33.986428,33.986428,-118.473199,-118.473199,1,5,7,6,SD,671G6
"STRUCTURE","100051","REC & PARKS SERVICE","","1  GRIFFITH PK------90027",34.113517,34.113517,-118.288152,-118.288152,1,5,7,0,,
"STRUCTURE","100052","GRIFFITH PARK","","1  GRIFFITH PK---LOS ANGELES---90027",34.10676,34.10676,-118.272319,-118.272319,1,5,7,4,SD,563J5
"STRUCTURE","100053","RECREATION AND PARKS","","1  MARKET ST---VENICE---90291",33.987507,33.987507,-118.474119,-118.474119,1,5,7,0,SD,671G6
"STRUCTURE","100054","SUB SURFACE","","1  VENICE AREA---VENICE---90291",33.9843,33.9843,-118.471358,-118.471358,1,5,7,6,SD,671G6
"STRUCTURE","100055","LAX","","1  WORLD WY---LOS ANGELES---90045",33.944171,33.944171,-118.397517,-118.397517,1,5,7,6,ND,
"STRUCTURE","100056","RADIO COMMUNICATION ROOM","","100  WILSHIRE BL---SANTA MONICA---90401",34.016782,34.016782,-118.501172,-118.501172,1,5,7,9,ND,671D1
"STRUCTURE","100057","PUMPING PLANT #47","","100  WINDWARD ST---VENICE---90291",33.987715,33.987715,-118.472208,-118.472208,1,5,7,11,ND,671G6
"STRUCTURE","100058","POLICE ADMINISTRATION BUILDING","","100 E 1ST ST---LOS ANGELES---90012",34.052132,34.052132,-118.243381,-118.243381,1,5,7,9,SD,634 H4
"STRUCTURE","100059","VACANT LAND","","100 E E & BROAD ST---WILMINGTON---90744",33.77552,33.77552,-118.261962,-118.261962,1,5,7,15,SD,794E7
"STRUCTURE","100060","LOT #731","","100 E NORTH VENICE BL---VENICE---90291",33.991358,33.991358,-118.46523,-118.46523,1,5,7,11,ND,671H6
"STRUCTURE","100061","CULTURAL AFFAIRS-BANNING'S LANDING","","100 E WATER ST---LOS ANGELES---90744",33.766902,33.766902,-118.260631,-118.260631,1,5,7,15,SD,824E1
"STRUCTURE","100062","LANDSCAPE MEDIAN ISLAND","","100 N CHICAGO ST---BEVERLY HILLS---90033",34.04495,34.04495,-118.212015,-118.212015,1,5,7,0,SD,635A5
"STRUCTURE","100063","VACANT LAND IRRIGATION ONLY","","100 N LADERA DR---LOS ANGELES---90077",34.103454,34.103454,-118.451765,-118.451765,1,5,7,5,ND,592D7
"STRUCTURE","100064","911 METROPOLITAN COMMUNICATION DISPATCH CENTER","","100 N LOS ANGELES ST---LOS ANGELES---90012",34.051514,34.051514,-118.242315,-118.242315,1,5,7,9,CC,634G4
"STRUCTURE","100065","LANDSCAPE MEDIAN ISLAND","","100 S FIGUEROA ST---LOS ANGELES---90012",34.057646,34.057646,-118.251956,-118.251956,1,5,7,9,SD,634F3
"STRUCTURE","100066","BUNKER HILL URBAN RENEWAL","","100 S HILL ST---BUNKER HILL---90014",34.04734,34.04734,-118.253099,-118.253099,1,5,7,9,SD,634F3
"STRUCTURE","100067","CALTRANS BUILDING","","100 S MAIN ST---LOS ANGELES---90012",34.052014,34.052014,-118.243394,-118.243394,1,5,7,9,SD,634G4
"STRUCTURE","100068","OCCIDENTAL PARKWAY","","100 S OCCIDENTAL BL---LOS ANGELES---90057",34.070633,34.070633,-118.279973,-118.279973,1,5,7,1,SD,634B2
"STRUCTURE","100069","EAGLE ROCK RECREATION CENTER","","1000  EAGLE VISTA DR---EAGLE ROCK---90041",34.14231,34.14231,-118.185939,-118.185939,1,5,7,14,SD,565C5
"STRUCTURE","100070","CRESTWOOD HILLS PARK","","1000  HANLEY AV---LOS ANGELES---90049",34.076342,34.076342,-118.488691,-118.488691,1,5,7,11,ND,594B7
"STRUCTURE","100071","MARCO PLACE PARKWAY","","1000  MARCO PL---VENICE---90066",33.996316,33.996316,-118.456487,-118.456487,1,5,7,6,SD,672A4
"STRUCTURE","100072","SAN PASCUAL PARK","","1000  SAN PASCUAL AV---LOS ANGELES---90042",34.120689,34.120689,-118.168935,-118.168935,1,5,7,14,SD,595F1
"STRUCTURE","100073","SAN PEDRO PLAZA PARK","","1000 S BEACON ST---SAN PEDRO---90731",33.735038,33.735038,-118.280395,-118.280395,1,5,7,15,SD,824C6
"STRUCTURE","100074","LANDSCAPE MEDIAN ISLAND","","10000  SANTA MONICA BL---LOS ANGELES---90025",34.05872,34.05872,-118.421879,-118.421879,1,5,7,0,,
"STRUCTURE","100075","PUBLIC SERVICE","","1001  WESTWOOD BL---LOS ANGELES---90024",34.06238,34.06238,-118.445605,-118.445605,1,5,7,5,ND,632B4
"STRUCTURE","100076","PICKLE WORKS BUILDING","","1001 E 1ST ST---LOS ANGELES---90012",34.048642,34.048642,-118.233222,-118.233222,1,5,7,9,SD,634H4
"STRUCTURE","100077","REC & PARKS SERVICE","","1001 W 18TH ST------90015",34.038912,34.038912,-118.278731,-118.278731,1,5,7,1,SD,634 C5
"STRUCTURE","100078","HOOVER REC CENTER","","1001 W 25TH ST---LOS ANGELES---90007",34.032746,34.032746,-118.282711,-118.282711,1,5,7,1,SD,634B7
"STRUCTURE","100079","FIRE STATION #95","","10010  INTERNATIONAL RD---WESTCHESTER---90045",33.945288,33.945288,-118.381397,-118.381397,1,5,7,11,SD,702J4
"STRUCTURE","100080","LANDSCAPE MEDIAN ISLAND","","1002  VICTORIA AV------90019",34.055007,34.055007,-118.324082,-118.324082,1,5,7,0,,
"STRUCTURE","100081","BISHOP CANYON SANITATION FACILITY","","1003  ACADEMY RD---BISHOP CANYON---90026",34.0797,34.0797,-118.245799,-118.245799,1,5,7,1,ND,594G7
"STRUCTURE","100082","REC & PARKS SERVICE","","1003 W 25TH ST---LOS ANGELES---90007",34.032771,34.032771,-118.282723,-118.282723,1,5,7,0,,
"STRUCTURE","100083","CHATSWORTH METROLINK STATION","","10038  OLD DEPOT PLAZA RD---LOS ANGELES---91311",34.252938,34.252938,-118.598864,-118.598864,1,5,7,12,ND,500A5
"STRUCTURE","100084","RAMON GARCIA REC CENTER","","1004 S FRESNO ST---BOYLE HEIGHTS---90023",34.027423,34.027423,-118.206943,-118.206943,1,5,7,14,ND,675B1
"STRUCTURE","100085","CHATSWORTH METROLINK STATION","","10040  OLD DEPOT PLAZA RD---LOS ANGELES---91311",34.253055,34.253055,-118.598864,-118.598864,1,5,7,12,ND,500A5
"STRUCTURE","100086","CHATSWORTH METROLINK STATION","","10044  OLD DEPOT PLAZA RD---LOS ANGELES---91311",34.253288,34.253288,-118.598863,-118.598863,1,5,7,12,ND,500A5
"STRUCTURE","100087","CHATSWORTH METROLINK STATION","","10048  OLD DEPOT PLAZA RD---LOS ANGELES---91311",34.253521,34.253521,-118.598863,-118.598863,1,5,7,12,ND,500A5
"STRUCTURE","100088","FIRE STATION #36","","1005 N GAFFEY ST---SAN PEDRO---90731",33.752952,33.752952,-118.293098,-118.293098,1,5,7,15,SD,824B3
"STRUCTURE","100089","JOHN MUIR BRANCH LIBRARY","","1005 W 64TH ST---LOS ANGELES---90044",33.981582,33.981582,-118.292089,-118.292089,1,5,7,8,SD,674A7
"STRUCTURE","100090","NORTHRIDGE RECREATION CENTER","","10058  RESEDA BL---NORTHRIDGE---91325",34.23778,34.23778,-118.517377,-118.517377,1,5,7,12,ND,500J4
"STRUCTURE","100091","NORTHRIDGE RECREATION CENTER","","10058  RESEDA BL---NORTHRIDGE---91324",34.25303,34.25303,-118.535954,-118.535954,1,5,7,12,ND,500J4
"STRUCTURE","100092","","","1007 N VIRGIL AV---LOS ANGELES---90029",34.089816,34.089816,-118.286986,-118.286986,1,5,7,13,SD,594B5
"STRUCTURE","100093","LANDSCAPE MEDIAN ISLAND","","10090  SEPULVEDA BL---SEPULVEDA---91345",34.253311,34.253311,-118.467191,-118.467191,1,5,7,0,ND,
"STRUCTURE","100094","LOS ANGELES PLAZA","","101  PASEO DE LA PLAZA---LOS ANGELES---90012",34.056502,34.056502,-118.239325,-118.239325,1,5,7,4,CC,634F3
"STRUCTURE","100095","OCCIDENTAL PARKWAY","","101 S OCCIDENTAL BL---LOS ANGELES---90057",34.070831,34.070831,-118.280404,-118.280404,1,5,7,1,SD,634B2
"STRUCTURE","100096","TENANT: FOUNDATION FOR EARLY CHILDHOOD EDUCATION","","1010  DOUGLAS ST---ECHO PARK---90039",34.108798,34.108798,-118.260474,-118.260474,1,5,7,1,SD,634E1
"STRUCTURE","100097","FIRE STATION #52 - PIPE HOSE TOWER","","1010 N VAN NESS AV---LOS ANGELES---90038",34.089095,34.089095,-118.315573,-118.315573,1,5,7,13,SD,593G6
"STRUCTURE","100098","FIRE STATION #52 - PARKING AREA","","1010 N VAN NESS AV---LOS ANGELES---90038",34.089095,34.089095,-118.315573,-118.315573,1,5,7,13,SD,593G6
"STRUCTURE","100099","FIRE STATION #52 - KITCHEN/OIL ROOM","","1010 N VAN NESS AV---LOS ANGELES---90038",34.089095,34.089095,-118.315573,-118.315573,1,5,7,13,SD,593G6
"STRUCTURE","100100","FIRE STATION #52","","1010 N VAN NESS AV---LOS ANGELES---90038",34.089095,34.089095,-118.315573,-118.315573,1,5,7,13,SD,593G6
"STRUCTURE","100101","FIRE STATION #52","","1010 N VAN NESS AV---LOS ANGELES---90038",34.089095,34.089095,-118.315573,-118.315573,1,5,7,13,SD,593G6
"STRUCTURE","100102","HOOVER REC CENTER","","1010 W 25TH ST---LOS ANGELES---90007",34.032581,34.032581,-118.282965,-118.282965,1,5,7,1,SD,634B7
"STRUCTURE","100103","RANCHO PARK IRRIGATION","","10100  PICO BL---RANCHO PARK---90064",34.051067,34.051067,-118.408563,-118.408563,1,5,7,5,SD,632F4
"STRUCTURE","100104","RANCHO PARK IRRIGATION","","10100  PICO BL---RANCHO PARK---90064",34.051067,34.051067,-118.408563,-118.408563,1,5,7,5,SD,632F4
"STRUCTURE","100105","LANDSCAPE MEDIAN ISLAND","","10100 S BROADWAY---LOS ANGELES---90003",33.944544,33.944544,-118.278054,-118.278054,1,5,7,0,,
"STRUCTURE","100106","LANDSCAPE MEDIAN ISLAND","","10102 S BROADWAY------90003",33.944529,33.944529,-118.27804,-118.27804,1,5,7,0,,
"STRUCTURE","100107","LANDSCAPE MEDIAN ISLAND","","10104  AVALON BL---LOS ANGELES---90003",33.944421,33.944421,-118.264823,-118.264823,1,5,7,0,SD,704E6
"STRUCTURE","100108","REC & PARKS SERVICE","","10110  COMMERCE AV------91042",34.252821,34.252821,-118.288475,-118.288475,1,5,7,0,,
"STRUCTURE","100109","LITTLE LANDERS PARK","","10116  COMMERCE AV---TUJUNGA---91042",34.252908,34.252908,-118.288475,-118.288475,1,5,7,2,ND,504B4
"STRUCTURE","100110","LESSOR: RIVERSIDE DRIVE LLC","","10116  RIVERSIDE DR---LOS ANGELES---91602",34.152047,34.152047,-118.351274,-118.351274,1,5,7,4,ND,563C4
"STRUCTURE","100111","PUMPING PLANT #25","","10120  BAYWOOD CT---BEVERLY GLEN---90039",34.108798,34.108798,-118.260474,-118.260474,1,5,7,5,ND,592B2
"STRUCTURE","100112","FIRE STATION #87","","10124  BALBOA BL---NORTHRIDGE---91343",34.2394,34.2394,-118.482316,-118.482316,1,5,7,12,ND,501C4
"STRUCTURE","100113","LANDSCAPE MEDIAN ISLAND","","10127  AVALON BL---LOS ANGELES---90003",33.944552,33.944552,-118.265257,-118.265257,1,5,7,0,,
"STRUCTURE","100114","DOT, PD CENTRAL PARKING ENFORCEMENT","","1014 N MISSION RD---LOS ANGELES---90033",34.05919,34.05919,-118.215944,-118.215944,1,5,7,14,ND,635A3
"STRUCTURE","100115","DE GARMO PARK","","10148  ARMINTA ST---LOS ANGELES---91352",34.214254,34.214254,-118.352631,-118.352631,1,5,7,7,ND,533C2
"STRUCTURE","100116","DE GARMO PARK","","10149  ARMINTA ST---LOS ANGELES---91352",34.214483,34.214483,-118.352611,-118.352611,1,5,7,7,ND,533B3
"STRUCTURE","100117","LANDSCAPE MEDIAN ISLAND","","10150  SANTA MONICA BL---LOS ANGELES---90025",34.05872,34.05872,-118.421879,-118.421879,1,5,7,0,,
"STRUCTURE","100118","LESSOR: MISSION RFT/SR LLC","","1016 N MISSION RD---LOS ANGELES---90033",34.059218,34.059218,-118.21591,-118.21591,1,5,7,14,ND,635A3
"STRUCTURE","100119","GSD FLEET SERVICES BUILDING","","1016 N MISSION RD---LOS ANGELES---90033",34.059218,34.059218,-118.21591,-118.21591,1,5,7,14,ND,635A3
"STRUCTURE","100120","DOT, PD CENTRAL PARKING ENFORCEMENT","","1016 N MISSION RD---LOS ANGELES---90033",34.059218,34.059218,-118.21591,-118.21591,1,5,7,14,ND,635A3
"STRUCTURE","100121","RAMON GARCIA (FRESNO) REC CNTR","","1016 S FRESNO ST---BOYLE HEIGHTS---90023",34.02719,34.02719,-118.207088,-118.207088,1,5,7,14,ND,675B1
"STRUCTURE","100122","DE GARMO PARK","","10161  ARMINTA ST---LOS ANGELES---91352",34.214354,34.214354,-118.35284,-118.35284,1,5,7,7,ND,533B3
"STRUCTURE","100123","TUNNEL","","1017 W 8TH ST---LOS ANGELES---90017",34.04892,34.04892,-118.262794,-118.262794,1,5,7,0,,
"STRUCTURE","100124","LANDSCAPE MEDIAN ISLAND","","10199  SEPULVEDA BL---SEPULVEDA---91345",34.255302,34.255302,-118.467558,-118.467558,1,5,7,0,ND,
"STRUCTURE","100125","CITY HALL PARK","","102 N SPRING ST---LOS ANGELES---90012",34.05296,34.05296,-118.244358,-118.244358,1,5,7,9,CC,634F4
"STRUCTURE","100126","PECAN PARK REC CENTER","","102 S GLESS ST---LOS ANGELES---90033",34.047163,34.047163,-118.222759,-118.222759,1,5,7,14,SD,634J4
"STRUCTURE","100127","REC & PARKS SERVICE","","1020  HANLEY AV---LOS ANGELES---90049",34.076741,34.076741,-118.488952,-118.488952,1,5,7,11,,
"STRUCTURE","100128","LANDSCAPE MEDIAN ISLAND","","10201  SANTA MONICA BL---LOS ANGELES---90025",34.0595,34.0595,-118.421439,-118.421439,1,5,7,0,ND,
"STRUCTURE","100129","CHLORINATION STATION","","10201 W JEFFERSON BL---CULVER CITY---90232",34.011129,34.011129,-118.390229,-118.390229,1,5,7,11,SD,672G2
"STRUCTURE","100130","CHLORINATION STATION","","10201 W JEFFERSON BL---CULVER CITY---90232",34.011129,34.011129,-118.390229,-118.390229,1,5,7,11,SD,672G2
"STRUCTURE","100131","CHLORINATION STATION","","10201 W JEFFERSON BL---CULVER CITY---90232",34.011129,34.011129,-118.390229,-118.390229,1,5,7,11,SD,672G2
"STRUCTURE","100132","ALMA REAVES WOODS-WATTS BRANCH","","10205  COMPTON AV---WATTS---90002",33.944133,33.944133,-118.246327,-118.246327,1,5,7,15,SD,704F4
"STRUCTURE","100133","LANDSCAPE MEDIAN ISLAND","","10210  CAMARILLO ST---LOS ANGELES---91602",34.157636,34.157636,-118.353466,-118.353466,1,5,7,4,ND,563 C3
"STRUCTURE","100134","GRANADA HILLS-ST. MAINT YARD","","10210  ETIWANDA AV---GRANADA HILLS---91325",34.25579,34.25579,-118.532118,-118.532118,1,5,7,12,ND,500J4
"STRUCTURE","100135","GRANADA HILLS-ST. MAINT YARD","","10210  ETIWANDA AV---GRANADA HILLS---91325",34.25579,34.25579,-118.532118,-118.532118,1,5,7,12,ND,500J4
"STRUCTURE","100136","GRANADA HILLS-ST. MAINT YARD","","10210  ETIWANDA AV---GRANADA HILLS---91325",34.25579,34.25579,-118.532118,-118.532118,1,5,7,12,ND,500J4
"STRUCTURE","100137","GRANADA HILLS-ST. MAINT YARD","","10210  ETIWANDA AV---GRANADA HILLS---91325",34.25579,34.25579,-118.532118,-118.532118,1,5,7,12,ND,500J4
"STRUCTURE","100138","GRANADA HILLS-ST. MAINT YARD","","10210  ETIWANDA AV---GRANADA HILLS---91325",34.25579,34.25579,-118.532118,-118.532118,1,5,7,12,ND,500J4
"STRUCTURE","100139","GRANADA HILLS-ST. MAINT YARD","","10210  ETIWANDA AV---GRANADA HILLS---91325",34.25579,34.25579,-118.532118,-118.532118,1,5,7,12,ND,500J4
"STRUCTURE","100140","GRANADA HILLS-ST. MAINT YARD","","10210  ETIWANDA AV---GRANADA HILLS---91325",34.25579,34.25579,-118.532118,-118.532118,1,5,7,12,ND,500J4
"STRUCTURE","100141","LAPD 77TH ST.CRASH UNIT/2ND FL","","10211 S AVALON BL---LOS ANGELES---90003",33.943597,33.943597,-118.265314,-118.265314,1,5,7,8,SD,704D5
"STRUCTURE","100142","WATTS CIVIC CENTER","","10221  COMPTON AV---LOS ANGELES---90059",33.943999,33.943999,-118.246344,-118.246344,1,5,7,15,SD,704G5
"STRUCTURE","100143","ECHO PARK SERVICE YARD","","1023  GLENDALE BL---ECHO PARK---90026",34.075625,34.075625,-118.261745,-118.261745,1,5,7,13,SD,634E1
"STRUCTURE","100144","PUBLIC BLDG FACILITY","","1023 N VIRGIL AV---LOS ANGELES---90029",34.089962,34.089962,-118.286971,-118.286971,1,5,7,13,SD,
"STRUCTURE","100145","DEVONWOOD PARK","","10230  WOODMAN AV---MISSION HILLS---91345",34.256401,34.256401,-118.454143,-118.454143,1,5,7,7,ND,501J4
"STRUCTURE","100146","FIRE STATION #43","","10234  NATIONAL BL---PALMS---90034",34.028962,34.028962,-118.408176,-118.408176,1,5,7,5,ND,632F7
"STRUCTURE","100147","LANDSCAPE MEDIAN ISLAND","","10240  SANTA MONICA BL---LOS ANGELES---90025",34.05872,34.05872,-118.421879,-118.421879,1,5,7,0,ND,
"STRUCTURE","100148","LANDSCAPE MEDIAN ISLAND","","10240 S BROADWAY---LOS ANGELES---90003",33.943386,33.943386,-118.278022,-118.278022,1,5,7,0,SD,704C5
"STRUCTURE","100149","FIRE STATION #87","","10241  BALBOA BL---NORTHRIDGE---91343",34.2394,34.2394,-118.482316,-118.482316,1,5,7,12,ND,501C4
"STRUCTURE","100150","L.A. COUNTY FLOOD CONTROL LANDSCAPE","","10241  CANOGA AV---CHATSWORTH---91311",34.256198,34.256198,-118.597486,-118.597486,1,5,7,12,ND,500B6
"STRUCTURE","100151","L.A. COUNTY FLOOD CONTROL LANDSCAPE","","10245  CANOGA AV---CHATSWORTH---91311",34.256257,34.256257,-118.597486,-118.597486,1,5,7,12,ND,500B6
"STRUCTURE","100152","GRACE SIMONS LODGE","","1025  ELYSIAN PARK DR---LOS ANGELES---90012",34.086134,34.086134,-118.244258,-118.244258,1,5,7,1,SD,
"STRUCTURE","100153","LANDSCAPE MEDIAN ISLAND","","1025  MONUMENT ST---LOS ANGELES---90272",34.047338,34.047338,-118.52448,-118.52448,1,5,7,1,ND,631 A5
"STRUCTURE","100154","DEVONSHIRE POLICE STATION","","10250  ETIWANDA AV---NORTHRIDGE---91325",34.256319,34.256319,-118.531902,-118.531902,1,5,7,12,ND,500J4
"STRUCTURE","100155","LANDSCAPE MEDIAN ISLAND","","10251  VENICE BL---LOS ANGELES---90034",34.021518,34.021518,-118.402466,-118.402466,1,5,7,0,SD,672D3
